symbol,market,strategy_id,phase_id,timeframe,direction,entryDate,exitDate,entry,exit,pnl,holdDays,prob,regPred,tsPred,score
AMD,US,SECTOR_ROTATION,JAN_SELL_PRESSURE,1d,SHORT,2026-01-08T15:43:22.000Z,2026-01-11T21:36:17.061Z,172.0219033788,168.8716737108,0.0183129567,3.2450817252,0.3564316471,-0.0073950867,-0.0051495881,0.5256332668
AVGO,US,ANCHOR_REVERT,JAN_SELL_PRESSURE,1d,LONG,2026-01-08T15:53:54.000Z,2026-01-11T08:38:27.804Z,270.7756690003,256.5423466092,-0.0525649976,2.6976134837,0.8548006359,0.0213765938,0.0075826831,0.7941774496
SMCI,US,MOM_EXPANSION,JAN_SELL_PRESSURE,1d,SHORT,2026-01-09T16:03:48.000Z,2026-01-12T10:17:24.059Z,93.3217443536,90.6461532314,0.0286706077,2.7594451343,0.2280525395,-0.0121733236,-0.0069601442,0.6532822379
MU,US,LEADER_LAGGARD,JAN_SELL_PRESSURE,1d,SHORT,2026-01-09T16:52:27.000Z,2026-01-11T11:11:10.279Z,150.6577210257,148.9647766741,0.0112370235,1.7630009222,0.2672558391,-0.00401541,-0.002626734,0.5657816758
BTCUSDT,CRYPTO,VELOCITY_SHOCK,JAN_SELL_PRESSURE,1d,SHORT,2026-01-11T08:03:32.000Z,2026-01-13T16:37:51.038Z,109751.3602384754,114735.1135117606,-0.0454094898,2.3571647997,0.2859413459,-0.0140664013,-0.0087647106,0.6685144964
BTCUSDT-PERP,FUTURES,CARRY_TREND,JAN_SELL_PRESSURE,1d,SHORT,2026-01-11T08:55:25.000Z,2026-01-15T19:37:26.084Z,109822.048514762,115561.1526828758,-0.0522582145,4.4458458883,0.3479380642,-0.0188596685,-0.0079350592,0.6471625232
XOM,US,FALSE_BREAK_CAPTURE,JAN_SELL_PRESSURE,1d,SHORT,2026-01-12T16:12:50.000Z,2026-01-13T23:39:03.745Z,120.6287902257,118.5186945627,0.0174924714,1.3098813079,0.2268773981,-0.0085329332,-0.0035212656,0.6161226762
JPM,US,INDEX_HEDGE_OVERLAY,JAN_SELL_PRESSURE,1d,LONG,2026-01-12T16:55:46.000Z,2026-01-14T09:02:50.563Z,284.9308696947,276.8053531053,-0.0285175018,1.6715805982,0.8481238393,0.0111108436,0.0052273204,0.7076086704
UNH,US,OPENING_DRIVE_RECLAIM,JAN_SELL_PRESSURE,1d,LONG,2026-01-13T16:01:33.000Z,2026-01-14T23:41:00.239Z,615.5807217156,587.4581303583,-0.0456846525,1.3190652718,0.6910345428,0.0148987643,0.0099440407,0.6528726894
WMT,US,EARNINGS_DRIFT_FADE,JAN_SELL_PRESSURE,1d,SHORT,2026-01-13T16:25:49.000Z,2026-01-17T00:07:21.307Z,102.3716237329,106.9675870621,-0.0448948953,3.3205128197,0.2803298417,-0.0140052709,-0.0078806461,0.6708051579
PLTR,US,MOM_EXPANSION,JAN_SELL_PRESSURE,1d,SHORT,2026-01-14T16:07:51.000Z,2026-01-17T11:07:48.408Z,84.0607103091,81.525981007,0.0301535556,2.791636672,0.2855108607,-0.0125845448,-0.0067132798,0.6169542692
SOFI,US,OVERSOLD_REBOUND,JAN_SELL_PRESSURE,1d,SHORT,2026-01-14T17:31:30.000Z,2026-01-16T23:30:54.131Z,18.0136185613,18.5947413637,-0.0322601925,2.2495848557,0.3312882364,-0.012088823,-0.0047487521,0.5911571242
RIVN,US,TREND_RANGE_FLIP,JAN_SHORT_COVER,1d,SHORT,2026-01-15T17:16:33.000Z,2026-01-19T14:38:00.963Z,18.0016669904,17.6099179663,0.0217618193,3.8899069904,0.2440758963,-0.0090302381,-0.0034031439,0.6182555403
HOOD,US,EQ_BREAKOUT,JAN_SHORT_COVER,1d,SHORT,2026-01-15T17:20:20.000Z,2026-01-18T18:27:06.766Z,56.1316044807,53.7434265702,0.0425460475,3.0463746071,0.3257517463,-0.0158418507,-0.0120284459,0.6301153043
UPST,US,EARNINGS_DRIFT_FADE,JAN_SHORT_COVER,1d,SHORT,2026-01-16T17:15:24.000Z,2026-01-18T18:31:36.821Z,92.3061053593,90.2418284611,0.0223633842,2.0529261727,0.2612668695,-0.0100027621,-0.0040554673,0.6079233601
LCID,US,DISPERSION_SWING,JAN_SHORT_COVER,1d,LONG,2026-01-16T17:47:18.000Z,2026-01-19T15:39:48.503Z,4.8318121325,4.961356601,0.026810742,2.9114641644,0.7737623813,0.0090814795,0.0074340987,0.6482654373
AFRM,US,TREND_RANGE_FLIP,JAN_SHORT_COVER,1d,LONG,2026-01-16T17:53:53.000Z,2026-01-18T20:44:51.979Z,74.7252630713,77.5511879791,0.0378175304,2.1187381913,0.6855949992,0.0125626716,0.0086921018,0.6222080029
RKLB,US,BREADTH_PRESSURE_SHORT,JAN_SHORT_COVER,1d,LONG,2026-01-19T17:56:52.000Z,2026-01-22T22:09:27.463Z,32.1931886741,33.5053786469,0.0407598634,3.1754104583,0.7255574955,0.020089904,0.0115974984,0.6609849322
IONQ,US,EARNINGS_DRIFT_FADE,JAN_SHORT_COVER,1d,LONG,2026-01-19T18:45:27.000Z,2026-01-21T15:51:25.944Z,41.3174777798,42.1043367843,0.0190442168,1.8791544482,0.6183002029,0.0077581872,0.0043802427,0.5099264834
SOUN,US,ANCHOR_REVERT,JAN_SHORT_COVER,1d,SHORT,2026-01-20T18:48:43.000Z,2026-01-22T23:28:07.590Z,18.1108753488,18.2215178267,-0.0061091734,2.1940346112,0.3376546073,-0.0018592469,-0.0011997617,0.4976598721
HIMS,US,VOL_EXP_CONT,JAN_SHORT_COVER,1d,LONG,2026-01-20T18:58:16.000Z,2026-01-23T07:14:39.100Z,42.2312683079,44.3017443776,0.0490270871,2.5113784837,0.8026774619,0.0217392215,0.0096845629,0.7446198688
BTCUSDT,CRYPTO,OI_FLUSH_RECLAIM,JAN_SHORT_COVER,1d,LONG,2026-01-21T16:17:37.000Z,2026-01-22T18:56:50.684Z,107673.7250591705,111770.4942288078,0.0380479933,1.1105750473,0.698304972,0.0111208117,0.0104501372,0.632142757
BTCUSDT-PERP,FUTURES,FUNDING_DISLOCATION,JAN_SHORT_COVER,1d,LONG,2026-01-21T16:19:34.000Z,2026-01-24T11:20:09.388Z,107736.204324965,112374.9107789255,0.0430561526,2.792076252,0.6846666084,0.0169033942,0.0103808463,0.6393508771
CAVA,US,TREND_RANGE_FLIP,JAN_SHORT_COVER,1d,LONG,2026-01-21T18:40:06.000Z,2026-01-24T10:03:43.332Z,160.3152620648,163.718493476,0.0212283682,2.6414043138,0.6372428346,0.0069425898,0.0046777179,0.5309912929
CELH,US,SECTOR_ROTATION,JAN_SHORT_COVER,1d,SHORT,2026-01-21T18:57:13.000Z,2026-01-24T18:37:20.243Z,73.4416820929,70.1636646094,0.044634292,2.9861949518,0.3811612271,-0.0205407836,-0.0120987892,0.5973205092
CRWD,US,ANCHOR_REVERT,JAN_SHORT_COVER,1d,LONG,2026-01-22T18:10:32.000Z,2026-01-24T11:47:37.859Z,479.9146536094,497.2105549971,0.0360395359,1.7340955934,0.8339068991,0.0103113259,0.0073911591,0.7229473895
APP,US,LIQUIDITY_GAP_FILL,JAN_SHORT_COVER,1d,SHORT,2026-01-22T18:53:27.000Z,2026-01-24T04:17:08.452Z,134.9844692817,136.851594533,-0.0138321487,1.3914519911,0.3609398917,-0.0059694032,-0.0038077332,0.5071525835
DDOG,US,DISPERSION_SWING,JAN_SHORT_COVER,1d,SHORT,2026-01-23T19:02:36.000Z,2026-01-26T12:16:33.257Z,169.9219323722,172.7002535696,-0.0163505744,2.7180238156,0.2606563918,-0.0049387391,-0.0040450896,0.5879193507
PANW,US,OVERBOUGHT_FADE,JAN_SHORT_COVER,1d,LONG,2026-01-23T19:19:21.000Z,2026-01-24T20:23:54.554Z,413.5331895123,424.5280332937,0.0265875728,1.0448328034,0.6290229555,0.0101468181,0.0050741533,0.5432942756
SNOW,US,DISPERSION_SWING,JAN_SHORT_COVER,1d,SHORT,2026-01-23T19:59:21.000Z,2026-01-27T02:10:06.222Z,210.4719630425,213.4448922751,-0.0141250606,3.2574678542,0.3522420525,-0.0042585513,-0.003612001,0.5144109283
NET,US,OPENING_DRIVE_RECLAIM,JAN_SHORT_COVER,1d,SHORT,2026-01-26T19:01:39.000Z,2026-01-28T00:42:01.251Z,126.529869978,127.6558514334,-0.0088989379,1.2363686546,0.2074736837,-0.0035450629,-0.0019438886,0.6008753366
MDB,US,LIQUIDITY_GAP_FILL,JAN_SHORT_COVER,1d,SHORT,2026-01-26T19:32:45.000Z,2026-01-28T01:03:55.040Z,326.6355601728,330.0485470504,-0.010448914,1.2299773192,0.3226548175,-0.0029421491,-0.0022822533,0.523214839
U,US,ZSCORE_REVERT,JAN_SHORT_COVER,1d,LONG,2026-01-27T19:00:44.000Z,2026-01-29T16:52:25.171Z,27.604307664,28.3985576634,0.0287726832,1.9108931931,0.7219696932,0.0126497736,0.0077684295,0.6176453019
PATH,US,LIQUIDITY_GAP_FILL,JAN_SHORT_COVER,1d,SHORT,2026-01-27T19:31:16.000Z,2026-01-28T21:01:06.170Z,17.8026289599,17.9999695388,-0.0110849122,1.0623862363,0.1536438321,-0.0050332354,-0.0026064348,0.6470651422
ROKU,US,EQ_BREAKOUT,JAN_SHORT_COVER,1d,LONG,2026-01-28T20:16:17.000Z,2026-02-01T04:20:48.603Z,90.1427425888,94.1576029174,0.0445389192,3.3364768945,0.6369844937,0.0139476402,0.0121234026,0.6100611607
BILL,US,EQ_BREAKOUT,JAN_SHORT_COVER,1d,SHORT,2026-01-28T20:27:54.000Z,2026-01-31T07:14:46.888Z,70.4509162935,67.1197737826,0.047283168,2.4492232479,0.1856602237,-0.0187515824,-0.0091730412,0.7470874101
COIN,US,ZSCORE_REVERT,JAN_SHORT_COVER,1d,SHORT,2026-01-29T20:12:29.000Z,2026-02-01T00:06:03.861Z,334.2983855883,338.2412161812,-0.0117943453,2.1622090419,0.2930711174,-0.003415259,-0.0023526305,0.5490895695
MARA,US,OVERSOLD_REBOUND,JAN_SHORT_COVER,1d,LONG,2026-01-29T20:50:48.000Z,2026-02-01T04:11:17.971Z,31.7218522239,32.4661212838,0.0234623456,2.3059024533,0.8260882757,0.0083212542,0.0034284295,0.6745555335
RIOT,US,DISPERSION_SWING,JAN_SHORT_COVER,1d,LONG,2026-01-30T20:32:19.000Z,2026-02-02T00:55:03.541Z,17.8006541025,18.2034802383,0.0226298502,2.1824599722,0.7044383925,0.0080281821,0.0052451235,0.5841371334
BITF,US,SECTOR_ROTATION,JAN_SHORT_COVER,1d,LONG,2026-01-30T20:56:16.000Z,2026-02-05T10:55:25.712Z,5.325700218,5.4809643933,0.029153758,5.5827512965,0.7544565721,0.0088521182,0.0041110088,0.6423315092
BTCUSDT,CRYPTO,BASIS_COMPRESSION,FEB_MACRO_BREAK,1d,SHORT,2026-02-01T00:00:37.000Z,2026-02-05T06:57:00.590Z,109386.223657818,113410.5526381334,-0.0367900897,4.2891619312,0.2899412234,-0.0106964756,-0.009852703,0.6363286242
BTCUSDT-PERP,FUTURES,FUNDING_DISLOCATION,FEB_MACRO_BREAK,1d,SHORT,2026-02-01T00:52:52.000Z,2026-02-05T19:38:18.768Z,109387.6137262095,113455.069453471,-0.0371838784,4.7815598189,0.2825629779,-0.0152082546,-0.0080575716,0.6429798426
OPEN,US,BREADTH_PRESSURE_SHORT,FEB_MACRO_BREAK,1d,SHORT,2026-02-02T14:06:48.000Z,2026-02-04T08:32:12.436Z,2.7282644831,2.6732458669,0.0201661593,1.7676439462,0.2613419068,-0.0095020605,-0.0032230988,0.6003987687
CLSK,US,OVERBOUGHT_FADE,FEB_MACRO_BREAK,1d,LONG,2026-02-02T14:10:27.000Z,2026-02-03T13:27:11.266Z,17.1410096108,16.7535411818,-0.0226047612,0.9699567884,0.771583414,0.0085050737,0.0041773417,0.632396246
CIFR,US,EQ_PULLBACK,FEB_MACRO_BREAK,1d,SHORT,2026-02-02T14:28:14.000Z,2026-02-05T06:18:16.857Z,8.7623905095,8.5731944343,0.0215918333,2.6597552971,0.222527096,-0.010989536,-0.0034674259,0.6331927242
ACHR,US,DISPERSION_SWING,FEB_MACRO_BREAK,1d,SHORT,2026-02-03T14:40:51.000Z,2026-02-05T21:24:55.485Z,10.9671491773,10.7785384971,0.0171977856,2.2806074744,0.2451524505,-0.0062765509,-0.0034706493,0.6019627068
FUBO,US,FALSE_BREAK_CAPTURE,FEB_MACRO_BREAK,1d,SHORT,2026-02-03T14:44:54.000Z,2026-02-05T21:23:41.223Z,5.641614039,5.5608515414,0.014315495,2.2769354582,0.2333844627,-0.006671569,-0.0031559433,0.6006358699
ASTS,US,TREND_RANGE_FLIP,FEB_MACRO_BREAK,1d,SHORT,2026-02-04T14:36:34.000Z,2026-02-07T06:19:04.156Z,39.3282356991,38.7335306603,0.0151215794,2.654515706,0.1929475122,-0.0052086454,-0.0033452006,0.632491161
CLOV,US,TREND_RANGE_FLIP,FEB_MACRO_BREAK,1d,SHORT,2026-02-04T15:53:07.000Z,2026-02-07T18:09:32.238Z,4.5513731762,4.4474310907,0.0228375221,3.0947365612,0.3024868992,-0.007080262,-0.0057924409,0.5798570076
PDD,US,TREND_RANGE_FLIP,FEB_MACRO_BREAK,1d,LONG,2026-02-05T15:31:09.000Z,2026-02-08T19:49:24.392Z,163.1281570628,157.505916207,-0.0344651773,3.1793448228,0.6561515789,0.0173262777,0.0068173523,0.5896107395
BABA,US,LEADER_LAGGARD,FEB_MACRO_BREAK,1d,LONG,2026-02-05T15:56:10.000Z,2026-02-09T21:54:35.907Z,105.7033658496,101.7513990276,-0.0373873319,4.2489109632,0.8003814944,0.0155322552,0.0061678275,0.7033916043
BILI,US,LIQUIDITY_GAP_FILL,FEB_MACRO_BREAK,1d,SHORT,2026-02-06T15:05:22.000Z,2026-02-07T18:14:12.741Z,23.397695335,23.9281985814,-0.022673312,1.1311428396,0.345628436,-0.0110185193,-0.0034841769,0.5482367868
JD,US,VOL_EXP_CONT,FEB_MACRO_BREAK,1d,SHORT,2026-02-06T15:48:12.000Z,2026-02-11T11:02:39.759Z,41.7772978577,40.6548450709,0.0268675296,4.801710177,0.2723448984,-0.0120068899,-0.0062848039,0.6152612738
NIO,US,OVERBOUGHT_FADE,FEB_MACRO_BREAK,1d,SHORT,2026-02-09T15:54:12.000Z,2026-02-11T20:29:33.068Z,7.2982929947,7.5308534805,-0.031865052,2.1912160752,0.2656267259,-0.0128712225,-0.0087175603,0.6370899343
SPY,US,LIQUIDITY_GAP_FILL,FEB_MACRO_BREAK,1d,LONG,2026-02-09T16:04:49.000Z,2026-02-11T01:26:15.731Z,636.1352837237,609.305150392,-0.0421767728,1.3898927231,0.6226859651,0.0138446349,0.0120965333,0.5917349225
BTCUSDT-PERP,FUTURES,BASIS_COMPRESSION,FEB_MACRO_BREAK,1d,SHORT,2026-02-10T08:03:48.000Z,2026-02-15T11:56:15.357Z,108822.6459009454,112131.7554422535,-0.0304082805,5.1614277492,0.2619479883,-0.0156446809,-0.0071988951,0.634785602
IWM,US,LEADER_LAGGARD,FEB_MACRO_BREAK,1d,LONG,2026-02-10T16:42:39.000Z,2026-02-15T08:51:21.065Z,237.4917355817,229.5461469321,-0.0334562743,4.6727090869,0.8417213402,0.0126141398,0.0069200573,0.7197906975
QQQ,US,EQ_BREAKOUT,FEB_MACRO_BREAK,1d,LONG,2026-02-10T16:53:54.000Z,2026-02-14T22:18:54.286Z,542.6833828866,528.195048989,-0.0266975816,4.2256977625,0.8471587763,0.0132605508,0.007141201,0.7007260963
AAPL,US,LIQUIDITY_GAP_FILL,FEB_MACRO_BREAK,1d,SHORT,2026-02-11T16:09:47.000Z,2026-02-12T23:04:34.142Z,242.4346477053,248.5510388508,-0.0252290306,1.288045636,0.1741261933,-0.0095417657,-0.0044955937,0.6804078449
DIA,US,LEADER_LAGGARD,FEB_MACRO_BREAK,1d,SHORT,2026-02-11T16:13:09.000Z,2026-02-15T05:07:33.666Z,448.6341857214,442.9334598093,0.0127068469,3.5377854866,0.1939836718,-0.0059801912,-0.0020113799,0.6235350358
MSFT,US,VOL_EXP_CONT,FEB_MACRO_BREAK,1d,SHORT,2026-02-12T16:26:39.000Z,2026-02-14T20:35:28.672Z,512.0577936972,504.8689070042,0.0140392096,2.1727971333,0.2252704114,-0.0065076173,-0.002789223,0.6055386164
NVDA,US,INDEX_HEDGE_OVERLAY,FEB_MACRO_BREAK,1d,SHORT,2026-02-12T17:01:54.000Z,2026-02-13T23:26:54.417Z,180.0596066343,178.6998785021,0.0075515445,1.2673659376,0.1465415857,-0.0037027758,-0.0012776334,0.6401653096
TSLA,US,OPENING_DRIVE_RECLAIM,FEB_DISPERSION_RECOVERY,1d,SHORT,2026-02-13T17:04:18.000Z,2026-02-15T01:39:54.652Z,342.5959946692,346.5774985854,-0.0116215717,1.3580631082,0.3553191085,-0.0050468399,-0.0031914903,0.5036835858
META,US,TREND_RANGE_FLIP,FEB_DISPERSION_RECOVERY,1d,SHORT,2026-02-13T17:07:32.000Z,2026-02-16T07:31:48.355Z,705.8602228655,710.9658295008,-0.0072331695,2.6001893027,0.211542797,-0.0025154736,-0.0015868609,0.5922819626
BTCUSDT,CRYPTO,OI_FLUSH_RECLAIM,FEB_DISPERSION_RECOVERY,1d,LONG,2026-02-15T12:36:35.000Z,2026-02-17T18:45:28.027Z,106085.4126817262,108300.2174941101,0.0208775623,2.2561692949,0.6577090382,0.0098297717,0.0055031768,0.5445342194
AMZN,US,DISPERSION_SWING,FEB_DISPERSION_RECOVERY,1d,SHORT,2026-02-16T17:10:17.000Z,2026-02-20T00:24:00.053Z,243.041952671,234.2080397377,0.036347276,3.3011927534,0.3572903225,-0.0124942544,-0.0094891448,0.5863317061
GOOGL,US,SECTOR_ROTATION,FEB_DISPERSION_RECOVERY,1d,LONG,2026-02-16T17:34:34.000Z,2026-02-21T15:15:44.871Z,212.1340207951,217.3984311668,0.0248164361,4.9035980509,0.7241963421,0.010942528,0.003918911,0.6057972492
NFLX,US,EQ_PULLBACK,FEB_DISPERSION_RECOVERY,1d,LONG,2026-02-17T17:37:35.000Z,2026-02-20T11:43:41.095Z,1163.4447237636,1205.36254934,0.036029065,2.7542372139,0.7940293248,0.013867652,0.0087006855,0.6941999349
AMD,US,ANCHOR_REVERT,FEB_DISPERSION_RECOVERY,1d,LONG,2026-02-17T18:33:07.000Z,2026-02-19T06:20:39.415Z,167.2062201311,173.0727791634,0.0350857703,1.4913473962,0.649452428,0.0147626294,0.0099193216,0.5868973673
AVGO,US,MOM_EXPANSION,FEB_DISPERSION_RECOVERY,1d,SHORT,2026-02-18T18:15:29.000Z,2026-02-21T23:20:43.881Z,262.7739568333,250.8642298739,0.0453230872,3.2119777899,0.1514449587,-0.0171240237,-0.0110514429,0.7650581262
SMCI,US,BREADTH_PRESSURE_SHORT,FEB_DISPERSION_RECOVERY,1d,SHORT,2026-02-18T18:25:32.000Z,2026-02-21T04:23:44.007Z,90.622689021,87.0473181147,0.0394533747,2.41541675,0.3540787987,-0.0142310011,-0.0065007704,0.5992047389
BTCUSDT-PERP,FUTURES,OI_FLUSH_RECLAIM,FEB_DISPERSION_RECOVERY,1d,LONG,2026-02-19T16:32:28.000Z,2026-02-22T04:45:35.883Z,107176.5936811495,110546.5057960535,0.0314426126,2.5091190234,0.6331351006,0.0125299774,0.0046680069,0.5627621551
JPM,US,OPENING_DRIVE_RECLAIM,FEB_DISPERSION_RECOVERY,1d,LONG,2026-02-19T18:38:20.000Z,2026-02-20T12:35:02.568Z,279.7204535301,287.8545154515,0.0290792533,0.7477149145,0.6256583303,0.0106314605,0.0073295059,0.549343459
MU,US,ZSCORE_REVERT,FEB_DISPERSION_RECOVERY,1d,SHORT,2026-02-19T18:42:48.000Z,2026-02-22T11:45:52.474Z,145.4132655946,146.1527552322,-0.0050854345,2.7104684562,0.3455469336,-0.0014530804,-0.0014087494,0.4884966852
XOM,US,OVERBOUGHT_FADE,FEB_DISPERSION_RECOVERY,1d,SHORT,2026-02-20T18:34:18.000Z,2026-02-22T05:44:44.313Z,117.1938023096,118.4922293263,-0.0110793147,1.4655823359,0.2105903477,-0.0034501985,-0.0023830058,0.6060446198
UNH,US,FALSE_BREAK_CAPTURE,FEB_DISPERSION_RECOVERY,1d,LONG,2026-02-20T19:58:30.000Z,2026-02-22T04:52:01.310Z,600.7012773043,616.2290120435,0.0258493453,1.3705012763,0.7310753986,0.009615756,0.0036512493,0.6142620611
WMT,US,DISPERSION_SWING,FEB_DISPERSION_RECOVERY,1d,LONG,2026-02-23T19:40:33.000Z,2026-02-27T04:44:36.008Z,99.6057087901,102.9789730554,0.033866174,3.3778125936,0.7995115882,0.0126873879,0.00721422,0.690793335
PLTR,US,INDEX_HEDGE_OVERLAY,FEB_DISPERSION_RECOVERY,1d,SHORT,2026-02-23T19:50:52.000Z,2026-02-26T12:25:33.320Z,81.848521012,82.45961465,-0.0074661537,2.6907560215,0.1786198756,-0.0026359023,-0.001719059,0.6167786121
HOOD,US,EARNINGS_DRIFT_FADE,FEB_DISPERSION_RECOVERY,1d,LONG,2026-02-24T19:03:32.000Z,2026-02-28T04:30:23.632Z,54.4940027366,56.5063738304,0.0369283039,3.3936531508,0.8390101666,0.01194241,0.0093315877,0.7296435533
SOFI,US,EQ_PULLBACK,FEB_DISPERSION_RECOVERY,1d,LONG,2026-02-24T19:14:17.000Z,2026-02-27T03:42:23.599Z,17.5181627348,18.2911446705,0.0441246007,2.3528541588,0.8158300361,0.0222482676,0.010863317,0.7374212683
RIVN,US,OVERBOUGHT_FADE,LATE_FEB_RISK_OFF,1d,LONG,2026-02-25T19:06:32.000Z,2026-02-28T02:07:01.168Z,17.5428542874,16.8601094867,-0.0389186839,2.2920042636,0.6239212632,0.0138355272,0.0060428266,0.5815468349
LCID,US,FALSE_BREAK_CAPTURE,LATE_FEB_RISK_OFF,1d,SHORT,2026-02-25T20:48:35.000Z,2026-03-01T01:31:57.459Z,4.6892431841,4.6108021628,0.0167278638,3.196787731,0.2060605486,-0.0049015685,-0.0045230983,0.6285111418
AFRM,US,ANCHOR_REVERT,LATE_FEB_RISK_OFF,1d,SHORT,2026-02-26T20:22:38.000Z,2026-03-01T07:22:00.017Z,72.539383181,73.6737227254,-0.0156375681,2.4578937198,0.3678698653,-0.0053561459,-0.0039778654,0.5083014284
UPST,US,DISPERSION_SWING,LATE_FEB_RISK_OFF,1d,LONG,2026-02-26T20:51:43.000Z,2026-03-01T04:25:15.285Z,90.4882806294,87.0328497202,-0.038186502,2.3149570119,0.810160177,0.0192802114,0.0083845895,0.7131494343
IONQ,US,OPENING_DRIVE_RECLAIM,LATE_FEB_RISK_OFF,1d,SHORT,2026-02-27T20:00:10.000Z,2026-02-28T22:52:17.998Z,40.478704689,39.8843308158,0.0146836189,1.1195370244,0.1706768223,-0.0049988135,-0.0023495755,0.6470369922
RKLB,US,LIQUIDITY_GAP_FILL,LATE_FEB_RISK_OFF,1d,SHORT,2026-02-27T20:11:49.000Z,2026-03-01T14:16:47.827Z,31.6750745122,31.2357460307,0.0138698484,1.7534586557,0.3831645467,-0.0041589978,-0.0037362612,0.4912790108
BTCUSDT,CRYPTO,OI_FLUSH_RECLAIM,LATE_FEB_RISK_OFF,1d,LONG,2026-03-01T00:00:40.000Z,2026-03-02T10:30:14.003Z,109027.1849146084,106606.4259372704,-0.0222032604,1.4371991153,0.6273747758,0.0109271254,0.0061008552,0.527200924
BTCUSDT-PERP,FUTURES,PERP_PREMIUM_MEANREV,LATE_FEB_RISK_OFF,1d,SHORT,2026-03-01T00:26:37.000Z,2026-03-03T02:47:59.099Z,109433.4408785547,113088.1641259609,-0.0333967681,2.0981724482,0.3256027975,-0.0164013461,-0.006928087,0.5991149973
